sample_number;time_point;biol_rep;substance_number;substance;concentration_number;concentration_uM;p-elF4B;Ubiquitin k48;p-Histone H3;HSP70;p-RNA pol II;cleaved PARP;total LC3B;HIF 1-alpha
1;72h;1;1;Cyproconazole;1;120;978;238.5;70;132;1917;92;331;215.5
2;72h;1;2;Fluxapyroxad;1;60;1035;207.5;71;133;2091.5;55;236.5;196
3;72h;1;3;Azoxystrobin;1;45;984;301.5;72;141;1860.5;53;239;234
4;72h;1;4;Chlorotoluron;1;750;1406.5;446.5;85;140;2115;146;850.5;237
5;72h;1;5;Thiabendazole;1;300;955;255;78;113;1741.5;204;691;171
6;72h;1;6;2-Phenylphenol;1;240;1091.5;242;66;114;1947;97;280;173.5
12;72h;1;0;NC;1;0;945;227;74;95;1747;136;270;171
13;72h;1;1;Cyproconazole;2;40;1152;216;78;101;2634;94;325;170
14;72h;1;2;Fluxapyroxad;2;20;1293.5;186;74;101;1317;89;242.5;145
15;72h;1;3;Azoxystrobin;2;15;1227.5;260;76;147;3341;187;328;232
16;72h;1;4;Chlorotoluron;2;250;1198;236;86;111;2965;124.5;318;291
17;72h;1;5;Thiabendazole;2;100;1309;211;78;105;2005;122;376;142
18;72h;1;6;2-Phenylphenol;2;80;1238;213;69;90;2234;144;302;181
24;72h;1;0;NC;2;0;1086;281;83;139;1918;127.5;269;201
25;36h;1;1;Cyproconazole;1;120;1259;181.5;96;114;1660.5;161.5;553;260.5
26;36h;1;2;Fluxapyroxad;1;60;1152.5;200.5;105.5;169.5;1754.5;82;483;314
27;36h;1;3;Azoxystrobin;1;45;1202.5;216;91.5;201;2197;72.5;723.5;417.5
28;36h;1;4;Chlorotoluron;1;750;1799;243;82.5;112;1281;149;1086;276.5
29;36h;1;5;Thiabendazole;1;300;1081.5;194;103;132;2527;386.5;847;278
30;36h;1;6;2-Phenylphenol;1;240;856.5;171.5;96;138;1526;46;331;176.5
36;36h;1;0;NC;1;0;760.5;156;84.5;132;2194;65;351;201
37;36h;1;1;Cyproconazole;2;40;1107.5;172;107;70.5;1212;72.5;284;189
38;36h;1;2;Fluxapyroxad;2;20;1136;191.5;121;148;3223;133.5;495;416
39;36h;1;3;Azoxystrobin;2;15;1520;310;123.5;105;3069;87;496;327.5
40;36h;1;4;Chlorotoluron;2;250;1755;249;108;127;2161.5;90;840.5;314
41;36h;1;5;Thiabendazole;2;100;975;168;99;131;1701;93;571;246
42;36h;1;6;2-Phenylphenol;2;80;1070;254.5;104;125;2737;66;439.5;256
48;36h;1;0;NC;2;0;1196;274;113;118;2860;68;465;260.5
49;36h;2;1;Cyproconazole;1;120;1078.5;221;88;129;1786;110;515;276
50;36h;2;2;Fluxapyroxad;1;60;933.5;184.5;93;162;3140.5;132.5;433;363
51;36h;2;3;Azoxystrobin;1;45;1175;247;83;192;3115;110;640.5;551
52;36h;2;4;Chlorotoluron;1;750;1546;234.5;76;119;2437;132;1177;332
53;36h;2;5;Thiabendazole;1;300;924.5;214.5;102;128;3279;268;630;324.5
54;36h;2;6;2-Phenylphenol;1;240;868;204;136;130;2984;98;337;308.5
60;36h;2;0;NC;1;0;1114;233;98;120;3469;109;317.5;284
61;36h;2;1;Cyproconazole;2;40;976.5;229;111.5;118;2753;92;389;285
62;36h;2;2;Fluxapyroxad;2;20;1031;231.5;115;132;2690;75;441.5;294
63;36h;2;3;Azoxystrobin;2;15;1414.5;299;137;136;3291;111;438;350
64;36h;2;4;Chlorotoluron;2;250;1840;300.5;107;139;2701;94.5;761;318
65;36h;2;5;Thiabendazole;2;100;1035.5;258;112;166;3514;109;732;322
66;36h;2;6;2-Phenylphenol;2;80;1443;332;104;103;3135;81;435;307
72;36h;2;0;NC;2;0;961;239.5;169.5;140;2258;93;405;268
73;72h;2;1;Cyproconazole;1;120;1097.5;237;87.5;117;1587;81;302.5;192
74;72h;2;2;Fluxapyroxad;1;60;1270;219;76;174;4095.5;171;397.5;284
75;72h;2;3;Azoxystrobin;1;45;1139.5;301;75;215;2500;63;312;273.5
76;72h;2;4;Chlorotoluron;1;750;1559;374;81;121;2941;165;1040;304
77;72h;2;5;Thiabendazole;1;300;1611;269.5;89.5;131;3270;246;788;218
78;72h;2;6;2-Phenylphenol;1;240;1366;255;71;141.5;4031;234;398;235
84;72h;2;0;NC;1;0;1473;265;81.5;139;3009.5;203;400;274
85;72h;2;1;Cyproconazole;2;40;1358;207.5;95;123;1564.5;78;319.5;183
86;72h;2;2;Fluxapyroxad;2;20;1339;252;127;141;2548;112.5;332;229.5
87;72h;2;3;Azoxystrobin;2;15;1368;246.5;122;137;1634;95.5;285;202
88;72h;2;4;Chlorotoluron;2;250;1473;223;150;133;1995;112;304.5;240
89;72h;2;5;Thiabendazole;2;100;1589;209.5;110;133;2557.5;257.5;513;208
90;72h;2;6;2-Phenylphenol;2;80;1413.5;256;103;128.5;2479;140;341;243
96;72h;2;0;NC;2;0;1608.5;253.5;108;130;2582;125;343;260
97;72h;3;1;Cyproconazole;1;120;1012;265;77;148;1863;56.5;400;264.5
98;72h;3;2;Fluxapyroxad;1;60;884;226.5;109;181;1498;122;288.5;270
99;72h;3;3;Azoxystrobin;1;45;691;326.5;137.5;296;1542;65;368;497
100;72h;3;4;Chlorotoluron;1;750;971.5;332;133.5;174.5;1449;225;1151.5;508
101;72h;3;5;Thiabendazole;1;300;978;272;121;176;1503;191.5;720.5;232.5
102;72h;3;6;2-Phenylphenol;1;240;995.5;328.5;88.5;179;2920.5;173;369;265.5
108;72h;3;0;NC;1;0;1000.5;246.5;80;149;2737;206;406;320
109;72h;3;1;Cyproconazole;2;40;1013.5;220;99;146.5;1125;90;329;205
110;72h;3;2;Fluxapyroxad;2;20;980;234;87.5;151;1855;101;343;232
111;72h;3;3;Azoxystrobin;2;15;725.5;228;95.5;174.5;1357;52;238.5;222
112;72h;3;4;Chlorotoluron;2;250;815.5;264;122;185;1242;75;249;334
113;72h;3;5;Thiabendazole;2;100;921.5;206;92;177;859;123.5;399;172.5
114;72h;3;6;2-Phenylphenol;2;80;980;288;79;163.5;2455;87;320;218
120;72h;3;0;NC;2;0;1082;329;85;187;3264;102;420.5;245.5
121;36h;3;1;Cyproconazole;1;120;943;210;222.5;181;2279;206;636;327
122;36h;3;2;Fluxapyroxad;1;60;980.5;252;123;221.5;2151;66.5;530;280.5
123;36h;3;3;Azoxystrobin;1;45;1837;321.5;85;253;3742;155;1428;686.5
124;36h;3;4;Chlorotoluron;1;750;1697.5;289;85.5;163;1881;117.5;1194;401
125;36h;3;5;Thiabendazole;1;300;774;257;105;140;1642;124.5;588.5;229.5
126;36h;3;6;2-Phenylphenol;1;240;797;294;138;174;3551;73.5;452;303
132;36h;3;0;NC;1;0;776;254;87;132;2377.5;52.5;347;285
133;36h;3;1;Cyproconazole;2;40;967;286;110;159;3117;79;443;295
134;36h;3;2;Fluxapyroxad;2;20;843.5;270;111;168;3112;67;371.5;267
135;36h;3;3;Azoxystrobin;2;15;914;295.5;167;185;4059;118;559;394
136;36h;3;4;Chlorotoluron;2;250;1372.5;280;126;174;2719;125.5;596;424
137;36h;3;5;Thiabendazole;2;100;814.5;249;100;148;2176;74;497;231
138;36h;3;6;2-Phenylphenol;2;80;821;258;92;147;2166;49;355;226
144;36h;3;0;NC;2;0;746.5;277;100;155;4518;108;394;376
