Refseq;Cyproconazole_Fold_Regulation;Cyproconazole_pvalue;Fluxapyroxad_Fold_Regulation;Fluxapyroxad_pvalue;Azoxystrobin_Fold_Regulation;Azoxystrobin_pvalue;Chlorotoluron_Fold_Regulation;Chlorotoluron_pvalue;Thiabendazole_Fold_Regulation;Thiabendazole_pvalue;Phenylphenol_Fold_Regulation;Phenylphenol_pvalue
NM_005763;-1.43;0.114428;-1.35;0.215564;-1.33;0.308572;-4.36;0.000041;-1.12;0.375374;-1.78;0.515983
NM_000927;1.85;0.002296;1.14;0.212812;-1.08;0.364304;1.11;0.444633;1.08;0.539676;-1.07;0.723636
NM_000443;-1.28;0.44463;-1.53;0.496363;-1.13;0.863018;-2.43;0.026514;-1.1;0.726306;-1.11;0.86011
NM_004996;-1.31;0.115642;-1.46;0.121313;-1.29;0.195255;1.04;0.769107;-1.1;0.481775;-1.17;0.376218
NM_000392;1.5;0.049569;1.13;0.467815;-1.01;0.868485;1.31;0.136062;1.18;0.339407;-1.04;0.874147
NM_003786;-1.49;0.082532;-1.49;0.133136;-1.67;0.058483;-1.67;0.036574;-1.02;0.907365;-1.29;0.295419
NM_005157;1.08;0.344145;1.08;0.186729;-1.22;0.023519;-1.23;0.122848;-1.11;0.401039;-1.13;0.10849
NM_001607;-2.16;0.042617;-1.64;0.204431;-1.77;0.181734;-3.64;0.013316;-1.06;0.738812;-1.31;0.585683
NM_006111;-1.53;0.109707;-1.18;0.472553;-1.38;0.269207;-2.63;0.024678;-1.28;0.271133;-1.15;0.663107
NM_198834;-1.08;0.398446;-1.26;0.080917;-1.37;0.028145;-1.22;0.083409;1.01;0.976485;-1.33;0.215702
NM_032169;-1.38;0.119059;-1.38;0.209178;-1.47;0.111092;-1.91;0.017335;-1.13;0.446467;-1.37;0.416741
NM_014049;-1.23;0.231386;-1.33;0.169658;-1.2;0.241718;-1.26;0.115624;-1.1;0.44954;-1.11;0.476108
NM_001608;-1.43;0.035839;-1.4;0.113759;-1.46;0.075167;-4.5;0.000838;-1.6;0.005883;-1.56;0.14993
NM_000016;-1.12;0.377328;-1.19;0.182592;-1.2;0.163298;-1.84;0.041298;-1.82;0.598031;-1.17;0.690549
NM_000017;-2.48;0.036234;-2.03;0.161763;-1.74;0.175295;-2.01;0.056657;-1.1;0.576505;-1.22;0.508804
NM_001609;-1.35;0.267721;-1.4;0.250723;-1.61;0.130931;-2.66;0.03033;-1.17;0.481135;-1.37;0.420311
NM_000018;-1.57;0.079093;-1.39;0.20587;-1.39;0.188971;-1.32;0.190158;-1.07;0.71313;-1.15;0.508689
NM_000019;-1.23;0.230637;-1.2;0.289598;-1.22;0.254285;-2.06;0.024054;-1.19;0.352086;-1.25;0.41717
NM_005891;2.56;0.001453;-1.13;0.471674;-1.15;0.454526;-1.4;0.15239;1.19;0.439939;-1.06;0.762511
NM_001096;1.43;0.082266;-1.71;0.060463;-1.32;0.214517;-1.18;0.444748;-1.01;0.882415;-1.21;0.361779
NM_002197;-1.32;0.31702;-1.55;0.191453;-1.64;0.149706;-1.83;0.132831;-1.05;0.671753;-1.23;0.483321
NM_001098;-1.49;0.069417;-1.45;0.143273;-1.43;0.125782;-1.47;0.084508;-1.12;0.513207;-1.1;0.68531
NM_001037161;-1.53;0.19905;-1.95;0.127417;-1.69;0.183693;-3.45;0.028536;-1.19;0.443929;-1.46;0.443683
NM_130767;-2;0.107318;-2.24;0.091172;-2.5;0.068957;-14.27;0.013375;-1.78;0.106977;-1.81;0.29445
NM_001037162;-1.19;0.874221;-1.51;0.255804;-1.4;0.623296;-4.29;0.052532;-2.12;0.200335;-1.31;0.754191
NM_181866;1.25;0.176532;1.27;0.260975;1.5;0.059042;1.05;0.852035;1.16;0.432685;1.19;0.351094
NM_005469;-1.09;0.455784;-1.07;0.620768;-1.19;0.214484;-1.5;0.050185;-1.03;0.982297;-1.15;0.586512
