© 2000-2023 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Liver Cholestasis	Cholestasis	2,80E-13	 	 	ABCB4,ABCC3,ADH1C,ALB,CYP7A1,CYP7B1,HPX,IL6,MTTP,NR0B2,NR1H4,SCD,SLC10A1,SREBF1	14
Liver Steatosis	Hepatic steatosis	2,92E-13	 	 	ACADL,ACOT1,ACOX2,CAT,CD44,CYP2E1,CYP7A1,FASN,GPT,GPX4,IL6,NR0B2,NR1H4,PPARA,SOD1,SREBF1	16
Liver Inflammation/Hepatitis	Inflammation of liver	4,93E-13	 	 	ABCB4,ACOT1,ALB,C3,CYP2C9,CYP2E1,CYP7A1,FASN,GPT,HSP90B1,HSPA5,IL1B,IL6,NR0B2,NR1H4,PPARA,PTPRC,SLC10A1	18
Liver Cholestasis	Progressive familial intrahepatic cholestasis type 1	9,92E-13	 	 	ABCB4,ADH1C,CYP7A1,HPX,MTTP,NR0B2,NR1H4,SCD,SLC10A1,SREBF1	10
Liver Steatosis	Nonalcoholic fatty liver disease	7,52E-12	 	 	ACADL,ACOT1,ACOX2,CAT,CYP2E1,CYP7A1,FASN,GPT,GPX4,NR0B2,NR1H4,PPARA,SOD1,SREBF1	14
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatitis B virus-related hepatocellular carcinoma	6,41E-11	 	 	ACAA1,ACOX2,CAT,CYP7B1,FASN,HSP90B1,HSPA5,HSPA9,NR1H4,SLC10A1,SOD1	11
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatocellular carcinoma	1,59E-10	 	 	ACAA1,ACAA2,ACADL,ACADM,ACADSB,ACAT1,ACOT1,ACOX2,ADH1C,ALB,ALDH2,APOA5,APOF,BCL2L11,C9,CAT,CD44,CES2,CYP1A1,CYP2C19,CYP2C9,CYP2E1,CYP7B1,EHHADH,F2,FASN,FH,HAAO,HSP90B1,HSPA5,HSPA9,INHBE,MAOB,NR1H4,RAD51,SCD,SLC10A1,SOD1,SREBF1,STBD1	40
Liver Cholestasis	Intrahepatic cholestasis	4,55E-10	 	 	ABCB4,ADH1C,CYP7A1,CYP7B1,HPX,MTTP,NR0B2,NR1H4,SCD,SLC10A1,SREBF1	11
Liver Hyperplasia/Hyperproliferation	Liver cancer	5,90E-10	 	 	AASS,ABCB4,ABCC3,ACAA1,ACAA2,ACADL,ACADM,ACADSB,ACAT1,ACOT1,ACOX2,ADH1C,AHSG,ALB,ALDH1A1,ALDH2,APOA5,APOF,ASAH1,BCL2,BCL2L11,BDH2,BRCA2,C3,C9,CAT,CD44,CES2,CPT1B,CROT,CYP1A1,CYP2C19,CYP2C9,CYP2D6,CYP2E1,CYP7A1,CYP7B1,DDIT3,DECR1,DHCR24,EHHADH,ERCC5,ERN2,F2,FABP1,FASN,FH,FMO2,GSTA3,HAAO,HERPUD1,HPX,HSP90B1,HSPA5,HSPA9,IL6,INHBE,MAOB,MCL1,NR1H4,NUDT13,OS9,PCCA,PRDX6,PTPRC,RAD51,SCD,SDHA,SLC10A1,SOD1,SREBF1,STBD1,UGT2B4	73
Liver Hyperplasia/Hyperproliferation	Liver tumor	6,31E-09	 	 	AASS,ABCB4,ABCC3,ACAA1,ACAA2,ACADL,ACADM,ACADSB,ACAT1,ACOT1,ACOX2,ADH1C,AHSG,ALB,ALDH1A1,ALDH2,APOA5,APOF,ASAH1,ASNS,BCL2,BCL2L11,BDH2,BRCA2,C3,C9,CAT,CD44,CES2,CPT1B,CROT,CYP1A1,CYP2C19,CYP2C9,CYP2D6,CYP2E1,CYP7A1,CYP7B1,DDIT3,DECR1,DHCR24,EHHADH,EPX,ERCC5,ERN2,F2,FABP1,FASN,FH,FMO2,FMO3,GSTA3,HAAO,HERPUD1,HPN,HPX,HSP90B1,HSPA5,HSPA9,IL6,INHBE,MAOB,MCL1,NR1H4,NUDT13,OS9,PCCA,PRDX6,PTPRC,RAD51,SCD,SDHA,SLC10A1,SOD1,SREBF1,STBD1,UGT2B4	77
Liver Hyperplasia/Hyperproliferation	Liver carcinoma	1,58E-08	 	 	AASS,ABCB4,ABCC3,ACAA1,ACAA2,ACADL,ACADM,ACADSB,ACAT1,ACOT1,ACOX2,ADH1C,ALB,ALDH2,APOA5,APOF,ASAH1,BCL2,BCL2L11,BDH2,BRCA2,C3,C9,CAT,CD44,CES2,CPT1B,CROT,CYP1A1,CYP2C19,CYP2C9,CYP2D6,CYP2E1,CYP7A1,CYP7B1,DDIT3,DECR1,DHCR24,EHHADH,ERCC5,ERN2,F2,FABP1,FASN,FH,FMO2,GSTA3,HAAO,HERPUD1,HPX,HSP90B1,HSPA5,HSPA9,INHBE,MAOB,MCL1,NR1H4,NUDT13,OS9,PCCA,PRDX6,PTPRC,RAD51,SCD,SDHA,SLC10A1,SOD1,SREBF1,STBD1	69
Liver Cholestasis	Progressive familial intrahepatic cholestasis type 2	2,96E-08	 	 	CYP7A1,NR0B2,NR1H4,SLC10A1	4
Liver Fibrosis	Fibrosis of liver	1,22E-07	 	 	ABCB4,ABCC3,ALB,CD86,CYP7B1,IL6,MTTP,NR1H4,PPARA,SLC51A,SREBF1,TNFSF10	12
Liver Inflammation/Hepatitis,Liver Steatosis	Steatohepatitis	2,17E-07	 	 	ACOT1,CYP2E1,CYP7A1,GPT,IL6,NR0B2,NR1H4	7
Liver Cirrhosis,Liver Fibrosis	Primary biliary cirrhosis	2,32E-07	 	 	ABCB4,ABCC3,CD86,MTTP,NR1H4,PPARA,SLC51A,TNFSF10	8
Liver Cirrhosis,Liver Fibrosis	Cirrhosis of liver	2,57E-07	 	 	ABCB4,ABCC3,ALB,CD86,CYP7B1,IL6,MTTP,NR1H4,PPARA,SLC51A,TNFSF10	11
Liver Cirrhosis	Cirrhosis	8,24E-07	 	 	ABCB4,ABCC3,ALB,CD86,CYP7B1,F2,IL6,MTTP,NR1H4,PPARA,SLC51A,TNFSF10	12
Liver Inflammation/Hepatitis,Liver Steatosis	Nonalcoholic steatohepatitis	1,51E-06	 	 	ACOT1,CYP2E1,CYP7A1,GPT,NR0B2,NR1H4	6
Liver Inflammation/Hepatitis	Viral hepatitis	2,80E-06	 	 	ALB,C3,CYP2C9,HSP90B1,HSPA5,IL1B,IL6,PPARA,SLC10A1	9
