© 2000-2023 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Liver Steatosis	Advanced stage hepatic steatosis	7,12E-07	CD44,SPP1	2
Cardiac Dysfunction	Calcification of aortic valve	4,91E-04	CCN1,HMOX1,SPP1	3
Liver Inflammation/Hepatitis	Inflammation of liver	5,96E-04	CCN1,CXCL1,SPP1	3
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatocellular carcinoma	6,76E-04	CCN1,CD44,IGFBP1,MT1A,NQO1,SPP1	6
Renal Damage	Acute kidney injury	7,16E-04	CCN1,SPP1	2
Cardiac Dilation,Cardiac Enlargement	Barth syndrome	1,02E-03	G6PD	1
Liver Cirrhosis,Liver Fibrosis	Primary biliary cirrhosis	1,51E-03	NQO1,SPP1	2
Liver Inflammation/Hepatitis	Chronic hepatitis	3,64E-03	CCN1,SPP1	2
Cardiac Dysfunction,Cardiac Stenosis	Calcific aortic valve stenosis	4,59E-03	SPP1	1
Liver Fibrosis,Liver Proliferation	Proliferation of hepatic stellate cells	6,62E-03	LGALS3	1
Congenital Heart Anomaly	Eisenmenger complex	6,62E-03	SPP1	1
Renal Damage	Nephrotoxicity	6,62E-03	SPP1	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Diffuse proliferative lupus nephritis	7,64E-03	SPP1	1
Liver Damage	Hepatotoxicity	8,15E-03	ABCB1	1
Renal Necrosis/Cell Death	Apoptosis of kidney cell lines	8,17E-03	CD44,SPP1	2
Liver Hyperplasia/Hyperproliferation	Liver carcinoma	8,67E-03	CCN1,CD44,HMOX1,IGFBP1,LGALS3,MT1A,NQO1,SPP1	8
Liver Inflammation/Hepatitis	Chronic autoimmune hepatitis	1,12E-02	CCN1	1
Liver Hyperplasia/Hyperproliferation	Liver metastasis	2,38E-02	CD44	1
Liver Inflammation/Hepatitis	Alcoholic hepatitis	2,48E-02	CXCL1	1
Heart Failure	Acute heart failure	3,52E-02	ABCB1	1
Liver Inflammation/Hepatitis	Chronic hepatitis C	4,26E-02	SPP1	1
Cardiac Infarction	Acute myocardial infarction	7,45E-02	ABCB1	1
Cardiac Arteriopathy	Coronary artery disease	1,40E-01	ABCB1	1
