© 2000-2023 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Glomerular Injury	Glomerulopathy with fibronectin deposits type 2	6,97E-04	FN1	1
Cardiac Regeneration	Regeneration of cardiac muscle tissue	1,39E-03	CDKN1A	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Type I Alport syndrome	2,09E-03	FN1	1
Kidney Failure	Acute tubular necrosis	2,09E-03	HAVCR1	1
Kidney Failure,Renal Damage	Ischemic acute renal failure	2,78E-03	HAVCR1	1
Liver Cirrhosis,Liver Fibrosis	Primary liver cirrhosis	2,89E-03	FN1,NQO1	2
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatitis B virus-related hepatocellular carcinoma	3,13E-03	CCND1,CDKN1A	2
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatocellular carcinoma	4,85E-03	CCND1,CDKN1A,CP,FN1,IGFBP1,NQO1	6
Kidney Failure	Chronic allograft nephropathy	7,64E-03	HAVCR1	1
Liver Fibrosis,Liver Proliferation	Proliferation of hepatic stellate cells	9,02E-03	LGALS3	1
Kidney Failure	Failure of kidney	9,91E-03	CDKN1A,HAVCR1	2
Liver Damage	Hepatotoxicity	1,11E-02	ABCB1	1
Kidney Failure	Acute renal allograft rejection	1,38E-02	HAVCR1	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Glomerulonephritis	1,61E-02	FN1,HAVCR1	2
Cardiac Infarction	Myocardial infarction	1,63E-02	ABCB1,BMP1	2
Cardiac Arteriopathy	Coronary artery disease	1,72E-02	ABCB1,FN1	2
Cardiac Dysfunction	Calcification of aortic valve	2,03E-02	FN1,HMOX1	2
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	BCLC stage B hepatocellular carcinoma	2,21E-02	CCND1	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Membranous glomerulonephritis	2,28E-02	HAVCR1	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	BCLC stage C hepatocellular carcinoma	2,62E-02	CCND1	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	IgA nephropathy	2,95E-02	HAVCR1	1
Liver Hyperplasia/Hyperproliferation	Liver carcinoma	3,03E-02	CCND1,CDKN1A,CP,FN1,HAVCR1,HMOX1,IGFBP1,LGALS3,NQO1	9
Glomerular Injury	Focal segmental glomerulosclerosis	3,09E-02	HAVCR1	1
Liver Inflammation/Hepatitis	Alcoholic hepatitis	3,36E-02	CXCL1	1
Heart Failure	Acute heart failure	4,77E-02	ABCB1	1
Liver Cirrhosis,Liver Fibrosis	Primary biliary cirrhosis	7,72E-02	NQO1	1
Cardiac Infarction	Acute myocardial infarction	1,00E-01	ABCB1	1
Kidney Failure	Chronic renal failure	1,01E-01	CDKN1A	1
Cardiac Arrythmia	Atrial fibrillation	1,27E-01	CDKN1A	1
Nephrosis	Nephrosis	1,35E-01	FN1	1
Renal Proliferation	Cell proliferation of kidney cell lines	1,37E-01	CDKN1A	1
Renal Necrosis/Cell Death	Apoptosis of kidney cell lines	1,74E-01	CDKN1A	1
Cardiac Dilation,Cardiac Enlargement	Dilated cardiomyopathy	2,24E-01	FN1	1
