© 2000-2023 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Liver Steatosis	Advanced stage hepatic steatosis	2,46E-06	CD44,SPP1	2
Cardiac Dysfunction	Calcification of aortic valve	9,07E-06	FN1,HMOX1,HSP90AA1,SPP1,UCHL1	5
Liver Damage	Hepatotoxicity	9,76E-05	ABCB1,ALDH1A1	2
Liver Cirrhosis,Liver Fibrosis	Primary liver cirrhosis	1,62E-04	FN1,NQO1,SPP1	3
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatitis B virus-related hepatocellular carcinoma	1,84E-04	CAT,CCND1,CDKN1A	3
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatocellular carcinoma	1,94E-04	CAT,CCND1,CD44,CDKN1A,CP,FN1,HSP90AA1,NQO1,SPP1	9
Liver Hyperplasia/Hyperproliferation	Liver cancer	2,19E-04	ALDH1A1,CAT,CCND1,CD44,CDKN1A,CP,FN1,HAVCR1,HMOX1,HSP90AA1,LGALS3,MCM6,NQO1,SPP1,UCHL1	15
Liver Hyperplasia/Hyperproliferation	Liver metastasis	8,64E-04	CD44,HSP90AA1	2
Cardiac Damage	Cardiotoxicity	9,01E-04	CAT,HSP90AA1	2
Glomerular Injury	Glomerulopathy with fibronectin deposits type 2	9,29E-04	FN1	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Proliferative glomerulonephritis	1,14E-03	HAVCR1,SPP1	2
Liver Steatosis	Hepatic steatosis	1,36E-03	CAT,CD44,SPP1	3
Cardiac Regeneration	Regeneration of cardiac muscle tissue	1,86E-03	CDKN1A	1
Renal Necrosis/Cell Death	Apoptosis of kidney cell lines	1,96E-03	CD44,CDKN1A,SPP1	3
Glomerular Injury,Renal Inflammation,Renal Nephritis	Glomerulonephritis	2,17E-03	FN1,HAVCR1,SPP1	3
Renal Damage	Acute kidney injury	2,42E-03	HAVCR1,SPP1	2
Glomerular Injury,Renal Inflammation,Renal Nephritis	Type I Alport syndrome	2,78E-03	FN1	1
Liver Hyperplasia/Hyperproliferation	Non-well differentiated fetal hepatoblastoma	2,78E-03	HSP90AA1	1
Liver Cholestasis	Obstructive jaundice	2,78E-03	CAT	1
Kidney Failure	Acute tubular necrosis	2,78E-03	HAVCR1	1
Liver Hyperplasia/Hyperproliferation	Liver carcinoma	3,62E-03	CAT,CCND1,CD44,CDKN1A,CP,FN1,HAVCR1,HMOX1,HSP90AA1,LGALS3,MCM6,NQO1,SPP1	13
Kidney Failure,Renal Damage	Ischemic acute renal failure	3,71E-03	HAVCR1	1
Liver Hyperplasia/Hyperproliferation	Resectable liver cholangiocarcinoma	4,64E-03	HSP90AA1	1
Liver Cirrhosis,Liver Fibrosis	Primary biliary cirrhosis	5,05E-03	NQO1,SPP1	2
Cardiac Dysfunction,Cardiac Stenosis	Calcific aortic valve stenosis	8,33E-03	SPP1	1
Liver Hyperplasia/Hyperproliferation	Locally advanced liver cholangiocarcinoma	9,25E-03	HSP90AA1	1
Kidney Failure	Chronic allograft nephropathy	1,02E-02	HAVCR1	1
Liver Fibrosis,Liver Proliferation	Proliferation of hepatic stellate cells	1,20E-02	LGALS3	1
Congenital Heart Anomaly	Eisenmenger complex	1,20E-02	SPP1	1
Renal Damage	Nephrotoxicity	1,20E-02	SPP1	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Diffuse proliferative lupus nephritis	1,38E-02	SPP1	1
Renal Proliferation	Cell proliferation of kidney cell lines	1,62E-02	CDKN1A,HSP90AA1	2
Kidney Failure	Failure of kidney	1,73E-02	CDKN1A,HAVCR1	2
Kidney Failure	Acute renal allograft rejection	1,84E-02	HAVCR1	1
Liver Hyperplasia/Hyperproliferation	Small cell undifferentiated hepatoblastoma	2,12E-02	HSP90AA1	1
Cardiac Infarction	Myocardial infarction	2,82E-02	ABCB1,BMP1	2
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Recurrent hepatocellular carcinoma	2,93E-02	HSP90AA1	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	BCLC stage B hepatocellular carcinoma	2,93E-02	CCND1	1
