© 2000-2023 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Liver Steatosis	Hepatic steatosis	1,80E-13	 	 	ACADL,ACOT1,ACOX2,CAT,CD44,CYP2E1,CYP7A1,FASN,GPT,GPX4,IL6,NR0B2,NR1H4,PPARA,SOD1,SPP1,SREBF1	17
Liver Inflammation/Hepatitis	Inflammation of liver	4,90E-13	 	 	ABCB4,ACOT1,ALB,C3,CYP2C9,CYP2E1,CYP7A1,FASN,GPT,HSP90B1,HSPA5,IL1B,IL6,NR0B2,NR1H4,PPARA,PTPRC,SLC10A1,SPP1	19
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatitis B virus-related hepatocellular carcinoma	7,09E-13	 	 	ACAA1,ACOX2,CAT,CCND1,CDKN1A,CYP7B1,FASN,HSP90B1,HSPA5,HSPA9,NR1H4,SLC10A1,SOD1	13
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatocellular carcinoma	1,36E-12	 	 	ACAA1,ACAA2,ACADL,ACADM,ACADSB,ACAT1,ACOT1,ACOX2,ADH1C,ALB,ALDH2,APOA5,APOF,BCL2L11,C9,CAT,CCND1,CD44,CDKN1A,CES2,CP,CYP1A1,CYP2C19,CYP2C9,CYP2E1,CYP7B1,EHHADH,F2,FASN,FH,FN1,HAAO,HSP90AA1,HSP90B1,HSPA5,HSPA9,INHBE,MAOB,NQO1,NR1H4,RAD51,SCD,SLC10A1,SOD1,SPP1,SREBF1,STBD1	47
Liver Cholestasis	Cholestasis	1,83E-12	 	 	ABCB4,ABCC3,ADH1C,ALB,CYP7A1,CYP7B1,HPX,IL6,MTTP,NR0B2,NR1H4,SCD,SLC10A1,SREBF1	14
Liver Cholestasis	Progressive familial intrahepatic cholestasis type 1	3,87E-12	 	 	ABCB4,ADH1C,CYP7A1,HPX,MTTP,NR0B2,NR1H4,SCD,SLC10A1,SREBF1	10
Liver Hyperplasia/Hyperproliferation	Liver cancer	6,03E-12	 	 	AASS,ABCB4,ABCC3,ACAA1,ACAA2,ACADL,ACADM,ACADSB,ACAT1,ACOT1,ACOX2,ADH1C,AHSG,ALB,ALDH1A1,ALDH2,APOA5,APOF,ASAH1,BCL2,BCL2L11,BDH2,BRCA2,C3,C9,CAT,CCND1,CD44,CDKN1A,CES2,CP,CPT1B,CROT,CYP1A1,CYP2C19,CYP2C9,CYP2D6,CYP2E1,CYP7A1,CYP7B1,DDIT3,DECR1,DHCR24,EHHADH,ERCC5,ERN2,F2,FABP1,FASN,FH,FMO2,FN1,GSTA3,HAAO,HAVCR1,HERPUD1,HMOX1,HPX,HSP90AA1,HSP90B1,HSPA5,HSPA9,IL6,INHBE,LGALS3,MAOB,MCL1,MCM6,NQO1,NR1H4,NUDT13,OS9,PCCA,PRDX6,PTPRC,RAD51,SCD,SDHA,SLC10A1,SOD1,SPP1,SREBF1,STBD1,UCHL1,UGT2B4	85
Liver Steatosis	Nonalcoholic fatty liver disease	4,77E-11	 	 	ACADL,ACOT1,ACOX2,CAT,CYP2E1,CYP7A1,FASN,GPT,GPX4,NR0B2,NR1H4,PPARA,SOD1,SREBF1	14
Liver Cirrhosis,Liver Fibrosis	Primary liver cirrhosis	1,75E-10	 	 	ABCB4,ABCC3,CD86,FN1,MTTP,NQO1,NR1H4,PPARA,SLC51A,SPP1,TNFSF10	11
Liver Hyperplasia/Hyperproliferation	Liver tumor	1,91E-10	 	 	AASS,ABCB4,ABCC3,ACAA1,ACAA2,ACADL,ACADM,ACADSB,ACAT1,ACOT1,ACOX2,ADH1C,AHSG,ALB,ALDH1A1,ALDH2,APOA5,APOF,ASAH1,ASNS,BCL2,BCL2L11,BDH2,BRCA2,C3,C9,CAT,CCND1,CD44,CDKN1A,CES2,CP,CPT1B,CROT,CYP1A1,CYP2C19,CYP2C9,CYP2D6,CYP2E1,CYP7A1,CYP7B1,DDIT3,DECR1,DHCR24,EHHADH,EPX,ERCC5,ERN2,F2,FABP1,FASN,FH,FMO2,FMO3,FN1,GSTA3,HAAO,HAVCR1,HERPUD1,HMOX1,HPN,HPX,HSP90AA1,HSP90B1,HSPA5,HSPA9,IL6,INHBE,LGALS3,MAOB,MCL1,MCM6,NQO1,NR1H4,NUDT13,OS9,PCCA,PRDX6,PTPRC,RAD51,SCD,SDHA,SLC10A1,SOD1,SPP1,SREBF1,STBD1,UCHL1,UGT2B4	89
