© 2000-2023 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatocellular carcinoma	5,51E-10	 	 	ABCC2,ACAA1,ACADS,APOA5,CCND1,CD24,CD44,CDKN1A,CP,CYP1A1,CYP2C19,CYP2E1,EP300,GPX2,IDH1,IGFBP1,IGFBP3,INHBE,NQO1,PVR,SCD,SPP1,SREBF1,STBD1	24
Liver Damage	Liver Damage	3,10E-07	 	 	ABCB1,ABCC2,ALDH1A1,TNFSF10	4
Liver Cholestasis	Progressive familial intrahepatic cholestasis type 1	3,33E-07	 	 	ABCC2,CYP7A1,GPX2,SCD,SREBF1	5
Liver Hyperplasia/Hyperproliferation	Liver cancer	1,00E-06	 	 	ABCC2,ACAA1,ACADS,ALDH1A1,APOA5,CCND1,CD24,CD44,CDKN1A,CP,CYP1A1,CYP2C19,CYP2D6,CYP2E1,CYP7A1,EP300,FMO2,GPX2,HAVCR1,HMOX1,HOXA3,IDH1,IGFBP1,IGFBP3,INHBE,LGALS3,MSH2,NQO1,OS9,PVR,SCD,SPP1,SREBF1,STBD1,UCHL1	35
Liver Hyperplasia/Hyperproliferation	Liver tumor	2,49E-06	 	 	ABCC2,ACAA1,ACADS,ALDH1A1,APOA5,CCND1,CD24,CD44,CDKN1A,CP,CYP1A1,CYP2C19,CYP2D6,CYP2E1,CYP7A1,EP300,EPX,FMO2,FMO3,GPX2,HAVCR1,HMOX1,HOXA3,IDH1,IGFBP1,IGFBP3,INHBE,LGALS3,MSH2,NQO1,OS9,PVR,SCD,SPP1,SREBF1,STBD1,UCHL1	37
Liver Damage	Hepatotoxicity	7,28E-06	 	 	ABCB1,ABCC2,ALDH1A1	3
Liver Hyperplasia/Hyperproliferation	Liver carcinoma	7,82E-06	 	 	ABCC2,ACAA1,ACADS,APOA5,CCND1,CD24,CD44,CDKN1A,CP,CYP1A1,CYP2C19,CYP2D6,CYP2E1,CYP7A1,EP300,FMO2,GPX2,HAVCR1,HMOX1,HOXA3,IDH1,IGFBP1,IGFBP3,INHBE,LGALS3,MSH2,NQO1,OS9,PVR,SCD,SPP1,SREBF1,STBD1	33
Liver Cirrhosis,Liver Fibrosis	Primary biliary cirrhosis	8,47E-06	 	 	IL1A,NQO1,SLC51A,SPP1,TNFSF10	5
Liver Steatosis	Advanced stage hepatic steatosis	1,71E-05	 	 	CD44,SPP1	2
Liver Fibrosis	Fibrosis of liver	9,22E-05	 	 	IL1A,NQO1,SLC51A,SPP1,SREBF1,TNFSF10	6
