© 2000-2023 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Cardiac Dilation,Cardiac Enlargement	Barth syndrome	2,23E-03	G6PD	1
Cardiac Regeneration	Regeneration of cardiac muscle tissue	2,23E-03	CDKN1A	1
Kidney Failure	Acute tubular necrosis	3,34E-03	HAVCR1	1
Liver Steatosis	Advanced stage hepatic steatosis	3,34E-03	CD44	1
Renal Necrosis/Cell Death	Apoptosis of kidney cell lines	3,35E-03	CALB1,CD44,CDKN1A	3
Kidney Failure,Renal Damage	Ischemic acute renal failure	4,45E-03	HAVCR1	1
Cardiac Dysfunction	Calcification of aortic valve	5,22E-03	C9,HMOX1,UCHL1	3
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatitis B virus-related hepatocellular carcinoma	7,97E-03	CCND1,CDKN1A	2
Kidney Failure	Chronic allograft nephropathy	1,22E-02	HAVCR1	1
Liver Fibrosis,Liver Proliferation	Proliferation of hepatic stellate cells	1,44E-02	LGALS3	1
Liver Damage	Hepatotoxicity	1,77E-02	ABCB1	1
Cardiac Arrythmia	Atrial fibrillation	1,96E-02	CDKN1A,MAOA	2
Kidney Failure	Acute renal allograft rejection	2,21E-02	HAVCR1	1
Kidney Failure	Failure of kidney	2,45E-02	CDKN1A,HAVCR1	2
Liver Hyperplasia/Hyperproliferation	Liver cancer	3,39E-02	C9,CALB1,CCND1,CD44,CDKN1A,FMO2,HAVCR1,HMOX1,IGFBP1,LGALS3,SCD,SELENOS,UCHL1	13
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	BCLC stage B hepatocellular carcinoma	3,51E-02	CCND1	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Membranous glomerulonephritis	3,62E-02	HAVCR1	1
Cardiac Infarction	Myocardial infarction	3,95E-02	ABCB1,BMP1	2
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	BCLC stage C hepatocellular carcinoma	4,15E-02	CCND1	1
Liver Hyperplasia/Hyperproliferation	Liver tumor	4,27E-02	C9,CALB1,CCND1,CD44,CDKN1A,FMO2,FMO3,HAVCR1,HMOX1,IGFBP1,LGALS3,SCD,SELENOS,UCHL1	14
Glomerular Injury,Renal Inflammation,Renal Nephritis	IgA nephropathy	4,69E-02	HAVCR1	1
Glomerular Injury	Focal segmental glomerulosclerosis	4,90E-02	HAVCR1	1
Liver Hyperplasia/Hyperproliferation	Liver metastasis	5,11E-02	CD44	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatocellular carcinoma	5,25E-02	C9,CCND1,CD44,CDKN1A,IGFBP1,SCD	6
Cardiac Arrythmia	Ventricular fibrillation	6,27E-02	MAOA	1
Liver Cholestasis	Progressive familial intrahepatic cholestasis type 1	6,48E-02	SCD	1
Liver Hyperplasia/Hyperproliferation	Liver carcinoma	6,64E-02	C9,CALB1,CCND1,CD44,CDKN1A,FMO2,HAVCR1,HMOX1,IGFBP1,LGALS3,SCD,SELENOS	12
Heart Failure	Acute heart failure	7,52E-02	ABCB1	1
Cardiac Arrythmia,Tachycardia	Ventricular tachycardia	7,52E-02	MAOA	1
Liver Cirrhosis,Liver Fibrosis	Primary biliary cirrhosis	1,21E-01	SLC51A	1
Cardiac Infarction	Acute myocardial infarction	1,55E-01	ABCB1	1
Kidney Failure	Chronic renal failure	1,57E-01	CDKN1A	1
Renal Proliferation	Cell proliferation of kidney cell lines	2,11E-01	CDKN1A	1
Cardiac Arteriopathy	Coronary artery disease	2,80E-01	ABCB1	1
