© 2000-2023 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Liver Damage	Hepatotoxicity	1,09E-06	ABCB1,ABCC2,ALDH1A1	3
Kidney Failure	Failure of kidney	8,44E-06	CDKN1A,CYP2D6,DEFB1,GHR,HAVCR1	5
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatocellular carcinoma	3,02E-05	ABCC2,ACADL,CCND1,CDKN1A,CP,CYP1A1,CYP2C19,CYP2E1,GHR,IGFBP1,NQO1,UGT1A1	12
Liver Hyperbilirubinemia	Hereditary hyperbilirubinemia	3,41E-05	ABCC2,UGT1A1	2
Liver Hyperplasia/Hyperproliferation	Liver cancer	2,69E-04	ABCC2,ACADL,ALDH1A1,CCND1,CDKN1A,CP,CYP1A1,CYP2C19,CYP2D6,CYP2E1,FMO2,GHR,HAVCR1,HMOX1,IGFBP1,LGALS3,NQO1,UCHL1,UGT1A1	19
Kidney Failure	Acute renal allograft rejection	3,05E-04	DEFB1,HAVCR1	2
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatitis B virus-related hepatocellular carcinoma	5,12E-04	ABCC2,CCND1,CDKN1A	3
Liver Proliferation	Proliferation of liver cells	6,04E-04	IL1B,LGALS3	2
Liver Inflammation/Hepatitis	Inflammation of liver	9,47E-04	ABCC2,CYP2E1,IL1B,UGT1A1	4
Kidney Failure	Chronic renal failure	1,01E-03	CDKN1A,CYP2D6,GHR	3
Liver Hyperbilirubinemia	Severe hyperbilirubinemia	1,30E-03	UGT1A1	1
Cardiac Dilation,Cardiac Enlargement	Dilated cardiomyopathy type 1II	1,30E-03	CRYAB	1
Liver Hyperbilirubinemia	Crigler-Najjar syndrome type 1	1,30E-03	UGT1A1	1
Liver Cholestasis	Obstructive cholestasis	1,30E-03	ABCC2	1
Liver Hyperbilirubinemia	Lucey-Driscoll syndrome	2,60E-03	UGT1A1	1
Liver Hyperbilirubinemia	Dubin-Johnson syndrome	2,60E-03	ABCC2	1
Cardiac Regeneration	Regeneration of cardiac muscle tissue	2,60E-03	CDKN1A	1
Liver Hyperbilirubinemia	Crigler-Najjar syndrome type 2	2,60E-03	UGT1A1	1
Liver Hyperplasia/Hyperproliferation	Liver carcinoma	2,61E-03	ABCC2,ACADL,CCND1,CDKN1A,CP,CYP1A1,CYP2C19,CYP2D6,CYP2E1,FMO2,GHR,HAVCR1,HMOX1,IGFBP1,LGALS3,NQO1,UGT1A1	17
Liver Inflammation/Hepatitis	Viral hepatitis	2,64E-03	ABCC2,IL1B,UGT1A1	3
Kidney Failure	Acute tubular necrosis	3,90E-03	HAVCR1	1
Liver Hyperbilirubinemia	Gilbert syndrome	3,90E-03	UGT1A1	1
Liver Cirrhosis,Liver Fibrosis	Cirrhosis of liver	4,91E-03	GHR,NQO1,SLC51A	3
Liver Inflammation/Hepatitis	HIV-HCV co-infection	5,19E-03	UGT1A1	1
Kidney Failure,Renal Damage	Ischemic acute renal failure	5,19E-03	HAVCR1	1
Cardiac Infarction	Myocardial infarction	5,83E-03	ABCB1,CYP2C19,IL1B	3
Heart Failure	Failure of heart	6,17E-03	ABCB1,GHR,IL1B	3
Cardiac Arteriopathy	Coronary artery disease	6,35E-03	ABCB1,CYP2C19,IL1B	3
Liver Cholestasis,Liver Inflammation/Hepatitis	Cholestatic hepatitis	7,78E-03	ABCC2	1
