"NC"	"Cyproconazole"	"Fluxapyroxad"	"Azoxystrobin"	"Chlorotoluron"	"Thiabendazole"	"X2.Phenylphenol"
23.163162	24.077726	23.96135	23.924517	24.96484	23.48537	25.676329
22.413643	22.127163	22.120747	22.454996	22.466797	22.65453	22.890654
24.455215	24.817024	25.165764	24.62787	25.318205	24.484407	25.282808
24.459536	25.166525	24.668242	24.417511	24.371914	24.610613	24.353302
21.104868	20.981268	20.608614	20.88265	20.882072	21.252758	21.51603
21.451513	21.970695	21.821754	21.816944	21.686258	21.183697	21.754673
25.187258	25.334492	24.85495	25.14771	25.318676	25.522083	25.239754
22.389517	23.775146	23.572418	23.569958	24.290152	22.614275	23.483984
20.88231	21.794603	21.481346	21.73498	22.537603	21.457151	21.60911
23.906252	24.366577	23.982513	23.97105	24.02382	23.739365	24.645357
21.845211	22.698675	22.594809	22.483253	22.649355	22.135416	22.937756
24.259388	24.615637	24.482306	24.168175	24.325407	24.369017	24.332424
22.440525	23.224947	23.213173	23.170248	24.77438	23.143757	23.650452
20.816517	21.362265	20.95195	20.927923	21.867687	20.387037	21.584606
24.842026	26.399218	26.324924	25.441048	25.822096	24.88557	25.361706
23.48927	23.952188	23.889694	23.926521	24.646244	23.574852	24.188097
19.573387	20.409922	20.00183	19.742521	19.701471	19.656061	19.736094
20.773024	21.406092	20.967167	20.893578	21.733078	21.106874	21.397102
21.382307	20.318615	21.422792	21.427485	21.406689	20.9878	21.511095
21.549543	21.574503	22.22498	21.742155	21.688877	21.516857	21.911573
21.984348	22.859142	22.649288	22.742208	23.179916	22.012016	22.815248
21.825506	22.491755	22.545538	21.879852	22.338448	21.875666	22.035593
26.133158	27.02583	27.301945	26.787828	27.725761	26.345135	27.35125
24.568548	25.405228	25.992712	26.224062	28.633974	25.118893	26.356373
32.654392	33.461468	32.95019	34.34487	34.53	34.1948	32.701813
23.516525	23.929981	23.347427	22.867178	23.562748	23.8125	23.223145
25.138302	25.449503	25.219957	25.10453	25.636023	25.373726	25.2251
23.86406	23.908619	23.651619	23.753126	23.728804	24.2935	23.68442
22.593441	22.961613	22.748089	22.927698	22.947529	22.91674	23.142609
25.357607	26.22477	26.635508	26.22199	28.232397	26.322096	27.226448
25.320513	25.975096	25.903183	25.615837	25.555983	25.354399	25.669323
18.54999	21.729107	21.936615	21.216038	24.11791	19.55909	23.205444
23.267138	23.535986	22.949179	23.196226	23.271973	23.480766	23.339607
22.984419	22.895935	22.845781	23.021397	22.803982	22.997272	23.16215
21.492699	23.824583	23.679161	23.693377	25.192684	23.139309	23.52888
22.404434	23.168043	22.854654	22.49626	22.573656	22.411686	22.54788
13.308784	13.937775	14.142161	14.2632065	15.20793	13.623566	14.532895
17.809767	18.543015	17.97221	18.435833	18.898252	17.983124	18.804276
20.420692	21.5189	21.592663	21.361609	21.45442	20.467155	21.421032
21.744766	22.657972	22.507683	22.012516	22.37737	21.903605	22.202137
24.897049	25.472733	24.95964	25.519136	25.288261	24.977407	24.842627
21.24951	21.443573	20.93777	20.986294	21.248478	21.280796	21.330042
23.62941	25.433506	25.161245	24.622227	25.744833	24.309982	25.127424
18.825396	20.010649	19.419157	19.267782	20.39955	19.45062	20.212154
29.530546	31.200459	30.193375	30.609795	32.180107	30.485676	31.886667
27.999683	29.46458	28.443268	29.586433	29.36599	28.343824	29.400156
21.7572	22.112894	22.027763	22.12567	22.189806	21.578798	22.251907
23.387465	21.664284	21.54147	21.312712	20.673689	22.675625	21.482527
20.81163	20.316738	20.47226	20.393333	19.91938	20.551313	20.503145
24.593283	24.892345	24.331736	24.008833	24.659588	25.265667	24.93412
27.668581	27.595358	26.71403	27.003405	27.498768	27.557423	27.63599
30.196054	30.338753	30.43248	30.459352	31.245079	29.8516	30.587646
25.00247	25.654535	25.493433	25.328844	25.89683	25.564613	25.456928
25.339552	25.582388	24.77383	25.3585	25.188564	25.481846	25.441504
24.208683	24.6621	24.62265	24.224205	23.980906	23.90324	24.24232
24.998604	25.268084	24.88321	25.124786	24.561327	25.00071	24.878487
21.568163	21.835415	21.527908	21.586657	21.36696	21.69195	21.385077
28.320597	28.145653	28.08825	28.574827	27.201727	27.900145	27.69482
23.568836	24.412558	23.885504	24.196796	23.479473	23.655022	23.515066
25.279484	25.904858	25.755007	25.781551	25.857357	25.655725	25.741087
22.305006	23.308218	23.11936	23.199057	24.359678	22.614122	23.534334
22.89544	23.236635	22.69996	22.658623	22.943249	23.148312	22.923021
21.963396	21.81004	21.59856	21.37324	21.284958	21.796371	21.47545
26.328377	26.868546	26.717773	26.410582	25.465658	25.255993	26.271244
26.80331	26.55442	25.652786	25.132929	25.207113	26.306583	25.404808
28.556717	28.245548	26.899336	26.599737	26.872952	27.942486	27.173063
17.925854	19.497915	19.372576	19.170311	19.671274	18.33233	19.20803
26.670263	28.19063	29.99956	29.167347	30.781813	26.703028	28.905197
24.280506	24.57902	24.107876	24.352137	24.541983	24.379631	24.376005
23.86448	24.207415	23.842123	23.994	24.251522	23.69863	24.302563
24.161057	24.65523	24.499893	24.18395	24.21571	24.218521	24.23066
23.885336	23.800074	23.657665	23.645977	23.672369	23.738035	23.851463
24.915888	25.419146	25.1582	25.328773	25.005743	25.437387	25.498312
20.622929	21.68398	21.44815	21.20425	21.990376	21.132757	21.685741
28.730831	29.189833	28.197197	28.400356	29.388243	29.133968	28.66521
31.203661	30.907574	29.460016	30.344852	32.317802	32.009483	32.65566
