"NC"	"Cyproconazole"	"Fluxapyroxad"	"Azoxystrobin"	"Chlorotoluron"	"Thiabendazole"	"X2.Phenylphenol"
NA	NA	34.507496	38.449413	NA	32.9429	NA
23.558043	23.796856	23.431921	23.323477	23.864485	23.980835	23.796938
22.19643	24.347918	23.432262	23.428091	23.978268	23.017635	23.654728
28.956554	28.02028	28.414825	28.408445	28.317308	27.601286	28.520834
18.14101	19.245884	18.583866	18.51175	19.99546	20.671728	18.383673
27.125177	26.773397	27.87882	28.527048	26.362867	26.288177	27.589573
17.90453	18.147627	17.876	17.78713	18.264317	17.41744	19.486986
24.288406	22.808996	21.91169	23.16431	21.542372	20.968933	24.92821
29.934628	30.396448	28.570312	29.293709	30.188255	28.879623	29.93476
20.972895	22.707006	22.216543	21.851433	22.309961	21.112104	21.993826
22.495665	22.478725	22.454535	22.599045	22.493364	22.78813	22.32853
26.443665	28.128012	26.849504	27.510044	27.295057	25.857319	26.772696
31.842945	31.901354	30.687536	32.12813	32.21251	31.775522	31.98277
19.257843	20.755041	19.692162	20.324228	20.823292	21.404709	19.84862
30.865602	36.233616	35.74525	36.759445	35.342495	23.802078	38.87212
20.785887	19.833393	19.871506	19.160496	19.275406	18.338799	20.210684
19.35015	19.281744	19.516886	18.893715	18.992104	19.492252	19.573755
22.415611	23.161898	23.067057	22.417622	23.167545	22.149542	22.574871
19.117262	21.412622	18.98502	19.687078	20.4107	19.867434	19.396402
18.8261	17.952364	18.513039	18.135584	17.870588	17.489637	18.580906
19.567152	17.840488	17.990759	18.136745	17.414675	17.360739	19.442707
21.549053	24.521832	21.277061	23.27886	22.869358	25.1381	22.781956
19.914726	21.102953	20.675882	21.449587	23.149998	23.706533	20.594467
18.91351	19.542728	19.208054	19.111994	19.474915	19.287004	18.961706
19.595737	20.511644	20.858452	19.930988	20.557892	18.804434	20.425377
16.288616	17.65295	17.885405	17.25819	16.999369	14.09552	17.765366
30.451656	32.800385	32.27583	31.406912	32.391247	27.870272	31.53397
31.689302	36.211964	31.186636	33.675224	33.016	31.299913	32.224525
25.38484	25.195518	24.964664	24.343332	25.670202	24.512222	25.248627
17.270472	18.688726	17.481268	16.573076	17.373621	16.9032	18.170546
28.347088	27.763378	27.43623	27.74155	28.864788	29.839441	28.28822
33.247585	NA	NA	NA	20.15967	NA	31.984203
33.964428	NA	NA	36.962025	34.58782	NA	NA
18.344227	18.544807	18.2303	17.971846	18.34968	18.22834	19.643688
34.551716	37.79564	35.188957	34.465416	39.134872	34.559853	37.2366
22.15155	20.410292	21.241022	21.619785	21.177134	21.478579	20.791357
23.695675	22.031448	21.662205	22.153992	20.470516	22.400726	23.646812
22.591806	23.418766	22.742573	23.175585	23.079445	23.824566	22.868011
27.263103	27.963816	27.583364	27.115728	27.830986	26.460245	27.355625
37.922714	NA	NA	38.261463	33.70543	37.694916	35.69993
NA	NA	32.796852	NA	36.707348	33.860214	NA
22.393164	23.180304	22.92772	22.633238	23.225971	22.243952	22.839857
20.393717	20.661121	18.977074	19.776827	20.644524	21.949108	20.12027
29.595682	27.48019	28.628195	28.591003	28.876732	28.772913	28.408834
20.794714	21.139761	21.122385	20.843573	20.872038	20.635134	21.188053
20.028793	20.334406	20.433563	19.812342	20.290922	20.67166	19.856556
16.301023	17.30711	16.70358	16.20408	17.077593	16.709133	16.721676
23.725718	25.755306	25.989883	25.119762	27.24837	27.332083	24.357204
23.766954	21.1004	21.975904	22.494354	22.092632	22.465405	22.24945
22.45374	22.941391	22.461016	22.614634	22.579	22.384594	22.451931
17.606117	17.33639	17.874186	17.65942	17.145315	17.438995	17.883081
19.886597	19.42248	20.094595	20.106571	19.667896	20.63041	19.889824
24.956287	19.304203	21.89411	22.120676	18.650988	21.589172	24.935253
18.91043	20.675262	19.627811	19.277222	18.916708	18.760784	19.759089
22.762054	23.056522	22.778896	23.039562	23.39502	23.19827	23.493845
33.532658	34.701553	31.875847	32.563	33.152145	32.81754	31.450785
14.67456	16.17036	17.338797	15.616884	15.421427	15.221704	16.601835
18.485847	17.976633	17.698818	17.785355	17.82385	17.824995	17.713684
21.107267	22.446072	22.73608	21.97897	22.877022	22.434414	22.32483
35.589817	NA	NA	34.297436	NA	NA	NA
24.892874	24.986546	25.778746	24.089916	25.781595	24.861565	26.144388
32.597027	NA	39.288788	38.55566	NA	36.326424	34.17608
33.477882	34.971577	33.24708	33.127888	36.331413	32.751537	34.304356
20.455984	18.758001	19.936934	19.642445	19.582382	19.853867	19.520426
19.989616	20.411068	20.3931	20.139196	20.608068	20.133808	20.37688
20.518147	19.24831	20.268599	19.578064	18.867632	18.37408	20.200428
33.506176	NA	31.953714	32.62771	33.216167	31.146282	31.941067
16.672096	17.12666	16.792944	16.603226	16.848322	16.524355	17.124956
18.31361	17.211916	18.281523	17.279327	18.58725	18.453608	18.29298
29.219254	29.905064	28.823412	29.137943	30.454935	27.579365	29.953623
22.267168	23.350094	22.890005	22.710777	22.851849	21.73131	22.804377
39.027637	NA	NA	NA	NA	37.212822	NA
21.883978	22.462671	22.53473	22.884735	22.528616	21.374449	21.953302
16.250086	17.288225	18.253256	17.71021	17.833443	14.872174	17.246447
18.244965	18.701355	19.634706	18.717428	18.941662	18.356283	19.165623
15.501485	14.74472	15.490835	15.125393	15.104698	15.820399	14.8588505
NA	NA	NA	NA	NA	NA	NA
21.334406	21.734608	21.678394	21.636782	22.186588	21.270508	21.375093
