Refseq;Cyproconazole_Fold_Regulation;Cyproconazole_pvalue;Fluxapyroxad_Fold_Regulation;Fluxapyroxad_pvalue;Azoxystrobin_Fold_Regulation;Azoxystrobin_pvalue;Chlorotoluron_Fold_Regulation;Chlorotoluron_pvalue;Thiabendazole_Fold_Regulation;Thiabendazole_pvalue;Phenylphenol_Fold_Regulation;Phenylphenol_pvalue
NM_000014;1.24;0.115812;1.41;0.115203;1.88;0.366477;1.3;0.215487;2.3;0.194072;1.34;0.122681
NM_005763;1.04;0.931173;1.12;0.658279;1.05;0.853806;-1.01;0.869712;-1.39;0.155781;1.03;0.927598
NM_000927;-4.27;0.00293;-2.39;0.00796;-2.63;0.01054;-3.47;0.004113;-2.19;0.013661;-2.21;0.020661
NM_000392;1.86;0.033748;1.92;0.078273;1.33;0.362271;1.75;0.12344;2;0.023375;1.55;0.129058
NM_000689;-1.74;0.045966;-1.2;0.273679;-1.07;0.876875;-2.41;0.019592;-2.58;0.022583;1.05;0.745266
NM_001039667;2.4;0.03628;1.54;0.327018;-1.75;0.142789;3.76;0.050735;3.25;0.007993;1.97;0.108759
NM_001154;-1.18;0.363879;-1.01;0.939598;1.02;0.97841;-1.02;0.832812;-1.16;0.792577;-1.38;0.458292
NM_001674;5.05;0.239274;5.77;0.124163;1.77;0.822142;4.96;0.225662;6.48;0.084517;-1.54;0.473127
NM_001713;1.03;0.916923;2.67;0.206896;-1.01;0.936393;-1.23;0.805505;1.11;0.925377;-1.05;0.84973
NM_006129;-2.19;0.006028;-1.7;0.01583;-1.72;0.017854;-1.8;0.015299;1.07;0.627595;-1.28;0.264627
NM_130851;-1.06;0.677161;1.05;0.882057;-1.25;0.315208;-1.09;0.562372;-1.08;0.685887;1.15;0.572754
NM_006763;-2.51;0.14285;-2.18;0.164929;-1.97;0.303903;-2.14;0.158703;1.5;0.392319;-1.25;0.552385
NM_004929;2.84;0.095699;7.39;0.032395;2.6;0.158396;3.09;0.126726;3.22;0.113698;2.57;0.221546
NM_001752;-2.34;0.050224;-1.58;0.143754;-2.07;0.070816;-2.65;0.023709;-2.31;0.075339;-1.38;0.304174
NM_002983;-1.07;0.779237;-1.03;0.96035;-3.79;0.260252;-1.12;0.994133;27.01;0.363225;-3.38;0.268574
NM_053056;2.18;0.012648;2.55;0.006806;2.36;0.005105;2.92;0.002393;4.41;0.002145;1.57;0.050192
NM_004060;1.4;0.002538;1.13;0.106247;1.23;0.032121;1.38;0.022549;1.05;0.422638;1.03;0.698934
NM_005125;-1.25;0.419522;-1.37;0.279183;-1.1;0.717129;-1.6;0.199391;1.1;0.868099;-1.01;0.995806
NM_013230;-3.45;0.046007;-1.49;0.394871;-1.31;0.679248;-1.88;0.09239;2.85;0.38297;1.07;0.804782
NM_000610;2.48;0.000117;1.87;0.005439;1.46;0.038722;2.52;0.000049;2.04;0.060417;1.5;0.0149
NM_000389;5.14;0.000778;4.71;0.000637;2.65;0.004317;5.66;0.000076;4.95;0.003798;1.63;0.08897
NM_001831;-4.29;0.088926;-1.33;0.592714;-2.84;0.127124;-2.79;0.090594;-4.61;0.067688;-2.02;0.192121
NM_000096;-2.4;0.044962;-1.87;0.07241;-2.54;0.018569;-6.48;0.004895;-4.34;0.01651;-1.32;0.27682
NM_000099;-1.08;0.632455;-1.03;0.76781;-1.09;0.630275;-1.2;0.299369;-1.08;0.594496;1.26;0.216592
NM_004079;-1.24;0.440313;-1.24;0.330272;-1.07;0.661346;-1.04;0.833485;1.3;0.492342;-1.18;0.4272
NM_001511;1.08;0.681773;-1.23;0.689959;-2.12;0.030401;1.16;0.589314;2.08;0.305932;-2.29;0.015038
NM_001565;-1.13;0.846148;-5.14;0.059714;1.09;0.816826;-1.41;0.447556;4.54;0.063413;-2.22;0.145807
NM_000769;-4.77;0.032255;2.25;0.138563;-2.07;0.170013;-1.4;0.295625;2.31;0.047585;-1.62;0.121889
NM_000106;1.26;0.619735;1.59;0.234354;1.36;0.467453;-1.06;0.813188;1.45;0.343609;1.24;0.649996
NM_001554;-1.74;0.135501;1.48;0.168074;1.47;0.00354;-1.09;0.589204;1.13;0.440443;-1.55;0.031628
NM_001963;1.61;0.244014;2.55;0.052312;1.21;0.585531;-1.57;0.193196;-2.48;0.078971;1.12;0.765093
NM_005141;-4.73;0.05224;-3.65;0.07394;-4.89;0.052214;7.34;0.374079;-2.8;0.147121;1.87;0.190842
NM_001460;-1.03;0.769877;1.35;0.483751;-1.2;0.427546;1;0.902333;1.02;0.896599;-1.07;0.657448
NM_002026;1.69;0.068536;2.97;0.060443;1.65;0.006783;2.05;0.03102;1.42;0.055763;1;0.831469
NM_000151;-1.23;0.539502;-1.16;0.597523;-1.63;0.405583;1.01;0.88826;1.57;0.6007;-1.36;0.488821
NM_000402;3.28;0.007412;2.02;0.042911;1.38;0.380273;1.87;0.053566;1.17;0.687684;2.45;0.021276
NM_001924;4.68;0.034574;6.29;0.004724;2.89;0.003639;6.8;0.025933;3.38;0.066519;1.4;0.36368
NM_000156;-1.25;0.560996;1.01;0.898909;-1.51;0.030446;1;0.998462;-1.25;0.646004;1.13;0.348785
NM_001482;-1.18;0.181043;-1.01;0.977761;1.04;0.532455;-1.07;0.471795;1.5;0.105881;1.14;0.116657
NM_000583;1.59;0.151687;1.26;0.068314;1.29;0.35137;2.59;0.167638;2.32;0.138045;1.19;0.137568
